ALL, Score
0,0.3333333
0.2,0.3333333
0.28,0.3333333
0.312,0.3333333
0.3248,0.4
0.36992,0.4
0.387968,0.4
0.3951872,0.4
0.3980749,1
0.75923,1
0.903692,1
0.9614768,1
